file_name,group,total_rows,iso_refined_anomaly_rate,ensemble_refined_anomaly_rate,mean_ensemble_score
Defected 2.xlsx,defective,4902,1.0,1.0,0.7490109431884149
Defect15(02).xlsx,defective,4902,1.0,1.0,0.7490109205680118
Defected 5.xlsx,defective,9690,1.0,1.0,0.4240286328666025
Defect16(01).xlsx,defective,9690,1.0,1.0,0.4240285536630894
Defected 1.xlsx,defective,12431,0.9595366422653044,1.0,0.40852882121481215
Defect15(01).xlsx,defective,12431,0.9595366422653044,1.0,0.40852882107760474
Defected 6.xlsx,defective,14537,1.0,0.9999312100158217,0.2570161999483428
Defect16(02).xlsx,defective,14537,1.0,0.9999312100158217,0.2570161999203679
Defect15(03).xlsx,defective,15689,0.9816431894958251,0.9872522149276564,0.2140897547397127
Defected 3.xlsx,defective,15689,0.9816431894958251,0.9872522149276564,0.21408975465065588
Defect15(04).xlsx,defective,13123,0.9043663796388021,0.9650232416368208,0.17034086712919716
Defected 4.xlsx,defective,13123,0.9043663796388021,0.9650232416368208,0.17034083877618753
Healthy 8.xlsx,healthy,9152,0.8438592657342657,0.8925917832167832,0.15729568333127336
Healthy 9.xlsx,healthy,20462,0.4654481477861402,0.7459681360570815,0.14019855132134992
Defect16(03).xlsx,defective,14683,0.35510454266839203,0.45855751549410884,0.11545446733159653
Defected 7.xlsx,defective,14683,0.35510454266839203,0.45855751549410884,0.11545444183474321
Healthy 5.xlsx,healthy,19127,0.3652951325351597,0.6518534009515344,0.11307399155406817
Healthy 4.xlsx,healthy,18263,0.3639051634452171,0.4414937304933472,0.10720826009428286
Healthy 7.xlsx,healthy,12463,0.5091871940945197,0.4479659792987242,0.10617205955473996
Healthy 6.xlsx,healthy,19982,0.3192873586227605,0.41382244019617653,0.10296392230090677
Healthy 3.xlsx,healthy,11723,0.35784355540390683,0.33165571952571865,0.09089640766691992
Healthy 2.xlsx,healthy,11599,0.3204586602293301,0.3261488059315458,0.08448583630162515
Healthy 1.xlsx,healthy,19620,0.17543323139653416,0.2008664627930683,0.07093998692726998
